ID,bac_com,fun_com,bf_com,bac,fun,bf,type,pH,WC,Clay,silt,Sand,TN,TP,TC,MAP,site,Richness1,Shannon1,PD1,pcoa1,CopyNumber,Shannon2,Richness2,pd2,pcoa2,nw1,nw2,shannon,Richness,soil.1,div.1,com.1,nc.1,nw.1,MAT,plantdiv,ST,ALT
Bacteria_F32_raw,0.453898776,0.146341463,0.490924092,0.051191413,0.041986687,0.002788704,Grassland,8.5,4.70191226,3.843,96.157,0,0.94954993,0.266783293,9.89196942,302.5978955,s3,6557,7.950484897,171.31452,-0.340724558,1.568990064,4.77751903,501,172.89688,0.060543363,1.511192835,1.148393289,12.72800393,7058,0.143186787,-0.468197804,-0.60755404,0.329827516,-2.219989291,8.289993199,0.653722989,Chestnut soil,1216.6
Bacteria_F321_raw,0.479974837,0.130952381,0.509851365,0.049330485,0.040384615,0.002731204,Grassland,8.5,0.71546505,2.957,86.797,10.246,0.18437702,0.127077224,1.28973334,190.1893862,s32,7311,8.213711276,202.12283,0.017001156,1.776441437,3.816788051,490,165.20896,0.024546685,1.595365574,1.111392741,12.03049933,7801,1.365119269,-0.368867514,0.209201579,-0.136324662,-1.610359516,8.289993199,0.856280426,Chestnut soil,1216.6
Bacteria_F322_raw,0.488273834,0.18,0.529246168,0.05192719,0.025601639,0.002836103,Grassland,8.55,0.97336066,2.138,60.971,36.891,0.21060669,0.125232871,1.33564854,190.1893862,s32,7586,8.257020089,207.02492,-0.033416661,1.629925563,4.70099424,1057,308.4132,0.202338709,1.595365574,1.111392741,12.95801433,8643,1.669316083,0.575068644,0.600068374,0.550959378,-1.610359516,7.77290251,0.829640597,Chestnut soil,1454.81
Bacteria_F323_raw,0.484672315,0.175824176,0.506756757,0.051829202,0.035602504,0.003056264,Grassland,8.31,1.14484818,4.348,85.042,10.61,0.21656658,0.143233281,1.7235126,190.4813434,s32,7389,8.24200176,203.72511,-0.013436736,1.531724506,4.866681831,594,196.31623,-0.161156643,1.595365574,1.111392741,13.10868359,7983,1.190836425,0.668075154,0.292648133,0.859631186,-1.610359516,7.77290251,0.815090109,Chestnut soil,1454.81
Bacteria_F33_raw,0.452361849,0.134146341,0.481687529,0.052172366,0.04792519,0.002570428,Grassland,8.39,5.41902962,2.228,78.339,19.433,1.40424978,0.250857633,14.2795539,302.5978955,s3,6509,7.899169527,163.36482,-0.341725007,1.506885172,4.838376507,506,179.93705,0.156703932,1.511192835,1.148393289,12.73754603,7015,0.115817185,-0.600085069,-0.735212322,0.204415711,-2.219989291,7.77290251,0.682524369,Chestnut soil,1454.81
Bacteria_F331_raw,0.4908792,0.175,0.519382193,0.053027788,0.037296037,0.002804615,Grassland,8.2,0.94648708,11.641,78.704,0,0.62141467,0.149741643,4.76793507,298.9609174,s33,7459,8.254564977,183.36683,0.14562263,1.392358955,5.13012351,773,223.60118,0.096223247,1.630214413,1.2757214,13.38468849,8232,0.899704837,0.948079178,0.566571133,0.728870227,0.740497513,9.171536922,0.877084194,Chestnut soil,1291.59
Bacteria_F332_raw,0.491946749,0.173913043,0.51486524,0.050997296,0.037022133,0.002820526,Grassland,8.39,1.125603,7.207,76.795,0,66.78631052,0.17185029,5.38815103,298.9609174,s33,8081,8.288353916,200.05311,-0.155267491,1.29666616,4.983892582,690,191.61809,-0.049112664,1.630214413,1.2757214,13.2722465,8771,-0.160501783,0.940443042,0.548192717,0.337666861,0.740497513,9.171536922,0.873209622,Chestnut soil,1291.59
Bacteria_F333_raw,0.493719409,0.175824176,0.515021459,0.049351939,0.036619718,0.002671856,Grassland,8.41,0.8088478,6.591,76.546,0,0.57278618,0.319749216,4.93754132,298.9609174,s33,9202,8.38653055,244.25072,-0.122478519,1.296451552,4.909561289,628,183.79925,-0.156910513,1.630214413,1.2757214,13.29609184,9830,0.537795684,1.230238784,0.592646851,-0.220545896,0.740497513,9.171536922,0.851459994,Chestnut soil,1291.59
Bacteria_F341_raw,0.481716531,0.142857143,0.585454545,0.048913092,0.042253521,0.002755711,Mountain,7.78,11.95583596,2.582,51.852,0,3.3755796,0.640998294,37.35045742,355.8907006,s34,7722,8.237153479,186.20286,0.142898648,1.456227512,5.514951705,891,240.51657,0.257305933,1.656354312,1.157014777,13.75210518,8613,-2.959443191,1.227437384,0.991662822,-0.185035942,-0.322571759,9.297712803,0.874715826,Chisley soil,1033.1
Bacteria_F342_raw,0.480154486,0.156521739,0.594788859,0.050243155,0.043759513,0.002800803,Mountain,7.69,13.39004411,3.082,96.798,0,3.94473109,0.612091222,42.71104535,355.8907006,s34,7642,8.155616157,219.80658,0.159863535,1.356404107,4.890439134,553,182.69425,-0.163850912,1.656354312,1.157014777,13.04605529,8195,-3.275674163,0.376019579,1.045237493,0.15410191,-0.322571759,9.297712803,0.878152352,Chisley soil,1033.1
Bacteria_F343_raw,0.479198579,0.166666667,0.588555858,0.047212001,0.043378995,0.002691537,Mountain,7.63,11.24849216,4.352,95.581,0,3.26508976,0.518713759,32.30289617,355.8907006,s34,8154,8.261744799,229.05843,0.175408114,1.407030691,4.866281473,566,178.26735,-0.192546797,1.656354312,1.157014777,13.12802627,8720,-2.425294555,0.739299026,0.961058548,-0.628487467,-0.322571759,9.297712803,0.877242058,Chisley soil,1033.1
Bacteria_F351_raw,0.480089898,0.168141593,0.607239819,0.051678132,0.04679089,0.00279319,Mountain,7.32,17.00528241,0.159,99.647,0,3.62514735,0.554536627,38.29840528,321.949843,s35,7178,8.109560349,180.50886,0.083094303,1.51088333,4.207886489,638,200.55112,0.263585864,1.706472346,1.206023098,12.31744684,7816,-3.437085673,-0.398410648,1.165590062,0.435992593,0.87022099,8.906765288,0.727172374,Gray cinnamonic soil,1136.95
Bacteria_F352_raw,0.482662814,0.236842105,0.606440072,0.048607622,0.035431235,0.00260484,Mountain,7.39,17.00755482,3.268,96.35,0,4.43806735,0.647138257,46.09144456,321.949843,s35,8621,8.28912933,214.56362,0.096937451,1.452085386,4.4498945,816,237.5028,0.265836731,1.706472346,1.206023098,12.73902383,9437,-3.976374491,0.468012616,1.220061607,-0.472710899,0.87022099,8.906765288,0.668141905,Gray cinnamonic soil,1136.95
Bacteria_F353_raw,0.483465274,0.179245283,0.604509974,0.049015075,0.040334855,0.002692195,Mountain,7.43,17.39601051,0.15,49.288,0,4.07120419,0.575647336,43.20991578,321.949843,s35,8809,8.371875995,219.15108,0.070707325,1.384939609,4.328562954,732,221.09333,0.280992868,1.706472346,1.206023098,12.70043895,9541,-3.68694855,0.660036837,1.220593941,-0.259022755,0.87022099,8.906765288,0.6453287,Gray cinnamonic soil,1136.95
Bacteria_F361_raw,0.482117139,0.168224299,0.60125448,0.047973146,0.041862285,0.002722184,Mountain,7.64,4.65866332,2.13,53.843,0,0.6433925,0.669595029,8.77232965,330.4018388,s36,8217,8.299802004,202.42643,0.057875384,1.532004982,5.220077826,993,264.43837,0.213192082,1.548824255,1.177205597,13.51987983,9210,-1.226860927,1.192146676,1.156072273,-0.427181792,-1.417656829,4.730939302,0.745076703,Chisley soil,1402.2
